year,state,program,Number of Contracts,Number of Acres,Total Financial Assistance Payments ($1000),Total Reimbursable Payments,Total Techinical Assistance Payments,Total Payments
2022,Kentucky,ACEP,0,0,14563.4,0,2390.8,16954.2
2022,Louisiana,ACEP,0,0,27056.2,115.3,3707.4,30878.9
2022,Maine,ACEP,0,0,8.1,0,263.5,271.6
2022,Maryland,ACEP,14,825,3416.2,0,877.8,4294
2022,Massachusetts,ACEP,0,0,5016.9,0,900.9,5917.8
2022,Michigan,ACEP,26,168,1904,0,856,2760
2022,Minnesota,ACEP,0,0,1315.7,0,1055.8,2371.5
2022,Mississippi,ACEP,1,5,23200.7,0,2636.4,25837.1
2022,Missouri,ACEP,41,2241,4607.7,0,2467.4,7075.1
2022,Montana,ACEP,0,0,15898.2,0,2353.5,18251.7
2022,Nebraska,ACEP,40,3466,3663.4,0,2226.2,5889.6
2022,Nevada,ACEP,0,0,0.5,0,408.2,408.7
2022,New Hampshire,ACEP,7,645,4609,0,1214.6,5823.6
2022,New Jersey,ACEP,0,0,276.4,0,409.4,685.8
2022,New Mexico,ACEP,0,0,1489.2,0,477.5,1966.7
2022,New York,ACEP,0,0,1383.6,0,1407.7,2791.3
2022,North Carolina,ACEP,0,0,9181.1,0,915.1,10096.2
2022,North Dakota,ACEP,10,202,1935.7,12.9,951.6,2900.2
2022,Ohio,ACEP,6,397,4663.5,0,1336,5999.5
2022,Oklahoma,ACEP,0,0,5213.4,0,887.1,6100.5
2022,Oregon,ACEP,3,68,31305.3,0,4428.7,35734
2022,Pennsylvania,ACEP,0,0,894.2,0,626.8,1521
2022,Rhode Island,ACEP,0,0,877.7,0,234.2,1111.9
2022,South Carolina,ACEP,0,0,1331.6,0,480,1811.6
2022,South Dakota,ACEP,34,1052,1901,0,1257.5,3158.5
2022,Tennessee,ACEP,0,0,5551.4,0,1680,7231.4
2022,Texas,ACEP,0,0,14570.6,0,3351.2,17921.8
2022,Utah,ACEP,0,0,7794.6,0,1148.7,8943.3
2022,Vermont,ACEP,46,4335,4247.6,0,1072.5,5320.1
2022,Virginia,ACEP,0,0,5998.8,0,533.6,6532.4
2022,Washington,ACEP,0,0,2044.6,0,999.8,3044.4
2022,West Virginia,ACEP,0,0,1414.9,0,549.4,1964.3
2022,Wisconsin,ACEP,0,0,3628.8,0,1205.1,4833.9
2022,Wyoming,ACEP,0,0,4976.1,0,1101.1,6077.2
