code,name,display_name
E666106Z2,Maintaining and improving forest soil quality ,Maintaining and improving forest soil quality (E666106Z2)
E666132Z1,Crop tree management for mast production ,Crop tree management for mast production (E666132Z1)
E666135Z1,Reduce height of the forest understory to limit wildfire risk ,Reduce height of the forest understory to limit wildfire risk (E666135Z1)
E666137Z1,"Snags, den trees, and coarse woody debris for wildlife habitat ","Snags, den trees, and coarse woody debris for wildlife habitat (E666137Z1)"
E666A,Maintaining and improving forest soil quality ,Maintaining and improving forest soil quality (E666A)
E666F,Reduce forest stand density to create open stand structure ,Reduce forest stand density to create open stand structure (E666F)
E666I,Crop tree management for mast production ,Crop tree management for mast production (E666I)
E666K,Creating structural diversity with patch openings ,Creating structural diversity with patch openings (E666K)
E666O,"Snags, den trees, and coarse woody debris for wildlife habitat ","Snags, den trees, and coarse woody debris for wildlife habitat (E666O)"
E666R,Forest songbird habitat preservation ,Forest songbird habitat preservation (E666R)
FARM,Farmstead ,Farmstead (FARM)
MINPAY,Minimum Payment Adjustment ,Minimum Payment Adjustment (MINPAY)
NIPF,Non-Industrial Private Forest Land Annual Payment ,Non-Industrial Private Forest Land Annual Payment (NIPF)
PAST,Pasture Annual Payment ,Pasture Annual Payment (PAST)
RANGE,Rangeland Annual Payment ,Rangeland Annual Payment (RANGE)
