practice_code,practice_name
E666R,Forest songbird habitat preservation
E666S,Facilitating longleaf pine establishment
FARM,Farmstead
MINPAY,Minimum Payment Adjustment
NIPF,Non-Industrial Private Forest Land Annual Payment
Organic,Organic
PAST,Pasture Annual Payment
PCROP,Pastured Cropland Annual Payment
RANGE,Rangeland Annual Payment
RCCR,Supplemental Payment
RCCR98,Supplemental Payment Improved
